Gene	Model	Statistic
ENSG00000134909.19	LM	0.111703393566451
ENSG00000135976.21	LM	0.11168651066278
ENSG00000033800.14	LM	0.111641319852414
ENSG00000165813.20	LM	0.111639044901147
ENSG00000198938.2	LM	0.111506703996745
ENSG00000268087.1	LM	0.111462943740298
ENSG00000166086.13	LM	0.111328740919649
ENSG00000170638.10	LM	0.111315821265665
ENSG00000137145.21	LM	0.1113057959864
ENSG00000171469.11	LM	0.111293146898959
ENSG00000186566.13	LM	0.111292065572162
ENSG00000214706.12	LM	0.111270924180971
ENSG00000170776.22	LM	0.111257802440502
ENSG00000227963.2	LM	0.111195556379307
ENSG00000100393.15	LM	0.111177059352551
ENSG00000279926.1	LM	0.111106916292503
ENSG00000105705.16	LM	0.111016782515941
ENSG00000253710.5	LM	0.110959626765331
ENSG00000198707.17	LM	0.110912228196214
ENSG00000240652.1	LM	0.110881220372829
ENSG00000072506.14	LM	0.110845138287614
ENSG00000165629.20	LM	0.110832973125464
ENSG00000100348.10	LM	0.110832884088082
ENSG00000128923.11	LM	0.110810027419889
ENSG00000279662.1	LM	0.110796866698604
ENSG00000115365.13	LM	0.110757877820259
ENSG00000109686.20	LM	0.110706883468779
ENSG00000289984.1	LM	0.110692984410305
ENSG00000267203.1	LM	0.110650548257357
ENSG00000005075.16	LM	0.110629941812866
ENSG00000064490.14	LM	0.110627220293159
ENSG00000143774.18	LM	0.110616340364485
ENSG00000164631.19	LM	0.110614903007694
