"Target","Evidence"
"CAB39","predicted (intersection) + predicted (union)"
"CABLES2","predicted (union)"
"CABP4","predicted (union)"
"CABP5","predicted (intersection) + predicted (union)"
"CABP7","predicted (union)"
"CABYR","predicted (union)"
"CACNA1C","predicted (intersection) + predicted (union)"
"CACNA1I","predicted (union)"
"CACNA2D1","predicted (union)"
"CACNB1","predicted (intersection) + predicted (union)"
"CACNB4","predicted (intersection) + predicted (union)"
"CACNG2","predicted (union)"
"CACNG8","predicted (union)"
"CACUL1","predicted (union)"
"CADM1","predicted (union)"
"CADM2","predicted (intersection) + predicted (union)"
"CADPS","predicted (union)"
"CALCOCO2","predicted (union)"
"CALCR","predicted (union)"
"CALCRL","predicted (intersection) + predicted (union)"
"CALHM5","predicted (intersection) + predicted (union)"
"CALML4","predicted (union)"
"CALN1","predicted (union)"
"CALR","predicted (union)"
"CALU","predicted (union)"
"CAMK2D","predicted (union)"
"CAMK2N1","predicted (union)"
"CAMK4","predicted (intersection) + predicted (union)"
"CAMKK2","predicted (union)"
"CAMLG","predicted (union)"
"CAMSAP1","predicted (union)"
"CAMSAP2","predicted (union)"
"CAMTA1","predicted (union)"
"CAND1","predicted (union)"
"CANX","predicted (union)"
"CAP2","predicted (union)"
"CAPN13","predicted (union)"
"CAPN6","predicted (union)"
"CAPN7","predicted (intersection) + predicted (union)"
"CAPRIN1","predicted (union)"
"CAPZA1","predicted (intersection) + predicted (union)"
"CAPZA2","predicted (union)"
"CAPZB","predicted (union)"
"CARD16","predicted (union)"
"CARD6","predicted (union)"
"CARM1","predicted (union)"
"CARNMT1","predicted (union)"
"CASC3","predicted (union)"
"CASC4","predicted (union)"
"CASD1","predicted (union)"
"CASK","predicted (intersection) + predicted (union)"
"CASP10","predicted (intersection) + predicted (union)"
"CASP14","predicted (union)"
"CASP2","predicted (union)"
"CASP7","predicted (union)"
"CAST","predicted (union)"
"CASTOR3","predicted (union)"
"CAV2","predicted (intersection) + predicted (union)"
"CAV3","predicted (intersection) + predicted (union)"
"CAVIN2","predicted (intersection) + predicted (union)"
"CAVIN4","predicted (union)"
"CBFB","predicted (intersection) + predicted (union)"
"CBL","predicted (intersection) + predicted (union)"
"CBLL1","predicted (union)"
"CBLN2","predicted (union)"
"CBR4","predicted (union)"
"CBS","predicted (intersection) + predicted (union)"
"CBX2","predicted (union)"
"CBX5","predicted (union)"
"CBX8","predicted (union)"
"CC2D1B","predicted (union)"
"CCBE1","predicted (intersection) + predicted (union)"
"CCDC113","predicted (union)"
"CCDC115","predicted (union)"
"CCDC122","predicted (union)"
"CCDC125","predicted (intersection) + predicted (union)"
"CCDC127","predicted (union)"
"CCDC138","predicted (union)"
"CCDC14","predicted (union)"
"CCDC141","predicted (union)"
"CCDC146","predicted (union)"
"CCDC148","predicted (union)"
"CCDC149","predicted (union)"
"CCDC160","predicted (union)"
"CCDC169-SOHLH2","predicted (union)"
"CCDC170","predicted (union)"
"CCDC171","predicted (union)"
"CCDC172","predicted (union)"
"CCDC186","predicted (union)"
"CCDC191","predicted (union)"
"CCDC30","predicted (union)"
"CCDC32","predicted (union)"
"CCDC33","predicted (union)"
"CCDC34","predicted (intersection) + predicted (union)"
"CCDC36","predicted (union)"
"CCDC40","predicted (union)"
"CCDC47","predicted (intersection) + predicted (union)"
"CCDC50","predicted (intersection) + predicted (union)"
"CCDC57","predicted (intersection) + predicted (union)"
"CCDC58","predicted (union)"
"CCDC59","predicted (intersection) + predicted (union)"
"CCDC6","predicted (intersection) + predicted (union)"
"CCDC68","predicted (intersection) + predicted (union)"
